id,name,price,desc
0,ajgqv_0,5262.43,"Item & <0> ""ajgqv_0"" 'ok'"
1,rkpos_1,6645.60,"Item & <1> ""rkpos_1"" 'ok'"
2,ajlud_2,7453.49,"Item & <2> ""ajlud_2"" 'ok'"
3,zljdq_3,6637.00,"Item & <3> ""zljdq_3"" 'ok'"
4,yjeao_4,5821.04,"Item & <4> ""yjeao_4"" 'ok'"
5,kpili_5,8827.60,"Item & <5> ""kpili_5"" 'ok'"
6,ceizv_6,2881.30,"Item & <6> ""ceizv_6"" 'ok'"
7,vfxot_7,5991.58,"Item & <7> ""vfxot_7"" 'ok'"
8,ugtzb_8,4091.35,"Item & <8> ""ugtzb_8"" 'ok'"
9,vzqif_9,4731.12,"Item & <9> ""vzqif_9"" 'ok'"
10,hejzy_10,626.78,"Item & <10> ""hejzy_10"" 'ok'"
11,kdtel_11,2031.06,"Item & <11> ""kdtel_11"" 'ok'"
12,viunv_12,142.41,"Item & <12> ""viunv_12"" 'ok'"
13,odvsa_13,1201.97,"Item & <13> ""odvsa_13"" 'ok'"
14,bqyql_14,3821.03,"Item & <14> ""bqyql_14"" 'ok'"
15,cksij_15,8359.47,"Item & <15> ""cksij_15"" 'ok'"
16,orudm_16,8134.55,"Item & <16> ""orudm_16"" 'ok'"
17,keruy_17,2402.53,"Item & <17> ""keruy_17"" 'ok'"
18,hyeec_18,134.58,"Item & <18> ""hyeec_18"" 'ok'"
19,ajokb_19,9014.73,"Item & <19> ""ajokb_19"" 'ok'"
20,zmcnd_20,8336.62,"Item & <20> ""zmcnd_20"" 'ok'"
21,jxnab_21,3873.08,"Item & <21> ""jxnab_21"" 'ok'"
22,lrkgn_22,1490.86,"Item & <22> ""lrkgn_22"" 'ok'"
23,toqes_23,9005.01,"Item & <23> ""toqes_23"" 'ok'"
24,gcymn_24,8062.83,"Item & <24> ""gcymn_24"" 'ok'"
25,fhhgr_25,2117.30,"Item & <25> ""fhhgr_25"" 'ok'"
26,dbdbc_26,7515.26,"Item & <26> ""dbdbc_26"" 'ok'"
27,sjzvk_27,9278.88,"Item & <27> ""sjzvk_27"" 'ok'"
28,oczdg_28,1246.77,"Item & <28> ""oczdg_28"" 'ok'"
29,rznbt_29,6528.16,"Item & <29> ""rznbt_29"" 'ok'"
30,rrgrq_30,8199.19,"Item & <30> ""rrgrq_30"" 'ok'"
31,zbykt_31,4103.45,"Item & <31> ""zbykt_31"" 'ok'"
32,rhixs_32,8233.69,"Item & <32> ""rhixs_32"" 'ok'"
33,inndn_33,1591.04,"Item & <33> ""inndn_33"" 'ok'"
34,khjuq_34,9928.00,"Item & <34> ""khjuq_34"" 'ok'"
35,oltjq_35,8575.21,"Item & <35> ""oltjq_35"" 'ok'"
36,nimsu_36,1069.18,"Item & <36> ""nimsu_36"" 'ok'"
37,tbeji_37,9900.51,"Item & <37> ""tbeji_37"" 'ok'"
38,gzuur_38,7719.42,"Item & <38> ""gzuur_38"" 'ok'"
39,kskqc_39,344.03,"Item & <39> ""kskqc_39"" 'ok'"
40,qcytg_40,3375.25,"Item & <40> ""qcytg_40"" 'ok'"
41,hztwj_41,4108.28,"Item & <41> ""hztwj_41"" 'ok'"
42,olwav_42,9764.73,"Item & <42> ""olwav_42"" 'ok'"
43,vyfjx_43,9270.25,"Item & <43> ""vyfjx_43"" 'ok'"
44,oqkti_44,1843.59,"Item & <44> ""oqkti_44"" 'ok'"
45,tcbah_45,1520.22,"Item & <45> ""tcbah_45"" 'ok'"
46,idbnw_46,3510.68,"Item & <46> ""idbnw_46"" 'ok'"
47,frgrp_47,291.60,"Item & <47> ""frgrp_47"" 'ok'"
48,nmbdl_48,972.46,"Item & <48> ""nmbdl_48"" 'ok'"
49,frkpm_49,1778.31,"Item & <49> ""frkpm_49"" 'ok'"
50,zcphu_50,4122.54,"Item & <50> ""zcphu_50"" 'ok'"
51,zcnhm_51,6113.33,"Item & <51> ""zcnhm_51"" 'ok'"
52,enecq_52,1162.31,"Item & <52> ""enecq_52"" 'ok'"
53,myayl_53,8353.93,"Item & <53> ""myayl_53"" 'ok'"
54,wpavh_54,4323.64,"Item & <54> ""wpavh_54"" 'ok'"
55,yonxq_55,2572.48,"Item & <55> ""yonxq_55"" 'ok'"
56,decht_56,241.93,"Item & <56> ""decht_56"" 'ok'"
57,piofx_57,2820.01,"Item & <57> ""piofx_57"" 'ok'"
58,zxstu_58,5088.98,"Item & <58> ""zxstu_58"" 'ok'"
59,jucap_59,1456.67,"Item & <59> ""jucap_59"" 'ok'"
60,vtsmh_60,930.25,"Item & <60> ""vtsmh_60"" 'ok'"
61,wohtc_61,5351.21,"Item & <61> ""wohtc_61"" 'ok'"
62,duxss_62,3107.31,"Item & <62> ""duxss_62"" 'ok'"
63,aspqc_63,1102.35,"Item & <63> ""aspqc_63"" 'ok'"
64,tvtuz_64,2041.30,"Item & <64> ""tvtuz_64"" 'ok'"
65,bwygd_65,7829.64,"Item & <65> ""bwygd_65"" 'ok'"
66,wsavf_66,6559.92,"Item & <66> ""wsavf_66"" 'ok'"
67,vcpxw_67,7816.31,"Item & <67> ""vcpxw_67"" 'ok'"
68,lkhcw_68,2073.18,"Item & <68> ""lkhcw_68"" 'ok'"
69,auogy_69,4621.97,"Item & <69> ""auogy_69"" 'ok'"
